player,no,matchTime,team,round,tacklesMade,tacklesMiss,tacklesPenalty,tacklesFirst,tacklesAssists,tacklesFirstPerc,tacklesMadePerc,contestDom,contestNeut,contestPass,contestDNPerc,rucksEff,rucksInEff,rucksInvolvement,rucksTOForced,LOSteals,TOForced,PFAtt,PFDef,PFTot
"Halaholo, W",23,1,Hurricanes ,1,,,,,,,,,,,,,,,,,,,1,1
"Uhila, L",18,1,Hurricanes ,1,,,,,,,,,,,,,,4,1,,1,,2,2
"Moroni, M",13,1,Jaguares ,1,11,2,,8,3,80,84.6,3,4,6,53.8,,,,4,,4,,,
"Alemanno, M",19,1,Jaguares ,1,8,1,,7,1,87.5,88.9,,6,3,66.7,,,,,,,,,
"Landajo, M",9,1,Jaguares ,1,8,2,,8,,80,80,,4,6,40,,,,,,,,1,1
"Matera, P",6,1,Jaguares ,1,8,1,,6,2,85.7,88.9,,7,2,77.8,,,,,,,,1,1
"Boffelli, E",11,1,Jaguares ,1,7,2,,6,1,75,77.8,,3,6,33.3,,,,,,,,,
"Senatore, L",8,1,Jaguares ,1,7,3,,7,,70,70,1,4,5,50,,,,,,,,,
"Baez, R",7,1,Jaguares ,1,6,1,,6,,85.7,85.7,1,3,3,57.1,,,5,1,,1,,,
"Lavanini, T",5,1,Jaguares ,1,6,1,,5,1,83.3,85.7,,5,2,71.4,,,1,,,,,1,1
"Cordero, S",14,1,Jaguares ,1,5,2,,5,,71.4,71.4,2,1,4,42.9,,,,1,,1,,,
"Paz, LN",1,1,Jaguares ,1,5,1,,5,,83.3,83.3,1,3,2,66.7,,,,,,,,,
"Creevy, A",2,1,Jaguares ,1,4,,,4,,100,100,,4,,100,,,,1,,1,,1,1
"Garcia Botta, S",17,1,Jaguares ,1,4,,,4,,100,100,,3,1,75,,,,,,,,2,2
"Gonzalez Iglesias, S",22,1,Jaguares ,1,4,1,,4,,80,80,1,1,3,40,,,,1,,1,,,
"Nahuel Tetaz, F",18,1,Jaguares ,1,4,,,4,,100,100,,4,,100,,,,,,,,,
"Bertranou, G",21,1,Jaguares ,1,3,,,2,1,100,100,,1,2,33.3,,,2,,,,,,
"Isa, F",20,1,Jaguares ,1,3,,,2,1,100,100,,3,,100,,,,,,,,,
"Sanchez, N",10,1,Jaguares ,1,3,3,,2,1,40,50,1,2,3,50,,,,1,,1,,1,1
"De La Fuente, J",12,1,Jaguares ,1,2,2,,2,,50,50,,1,3,25,,,,,,,,,
"Herrera, R",3,1,Jaguares ,1,2,1,,1,1,50,66.7,1,1,1,66.7,,,,,,,1,,1
"Montoya, J",16,1,Jaguares ,1,2,2,,1,1,33.3,50,,1,3,25,,,,1,,1,,,
"Tuculet, J",15,1,Jaguares ,1,2,1,,2,,66.7,66.7,,,3,,,,,1,,1,2,,2
