Team,Round,nrPasses,nrOffloads,passesTotal,kicksInPlay,carriesRuns,carriesMtrsMade,carriesNrTimesDefenceBeaten,carriesGainLine,carriesLinebreaks,carriesTkld,ballToRuckMaul,nrRuckInvolvement,ruckEff,ruckInEff,rcvs,turnOverInPos,PFinAttack,PFTotal,kickToPassPercentage,metresMadePerCarry,ballToRuckPerc,attackTotalPoss,turnOverConcededPerc
Reds,13,86,7,93,16,88,500,23,38,6,73,63,109,13,122,26,15,3,9,18.60,5.7,71.59,42,35.71
Rebels,13,140,1,142,22,94,318,11,38,5,93,85,174,64,238,32,13,3,5,15.71,3.4,90.43,41,31.71
Lions,13,162,14,176,22,124,944,34,39,14,94,70,136,13,149,50,16,2,11,13.58,7.6,56.45,50,32.00
Kings,13,119,7,128,21,89,264,6,37,3,82,67,121,28,149,30,18,2,13,17.65,3.0,75.28,40,45.00
Jaguares,13,93,5,105,21,83,392,15,34,3,69,52,92,18,110,35,17,2,7,22.58,4.7,62.65,44,38.64
Force,13,180,6,187,20,155,268,15,51,2,139,140,,,,31,15,1,3,11.11,1.7,90.32,47,31.91
Crusaders,13,144,11,155,48,107,459,16,32,9,85,67,117,49,166,55,15,2,6,33.33,4.3,62.62,67,22.39
Chiefs,13,118,13,132,21,103,521,25,45,10,100,71,112,54,166,34,17,2,11,17.80,5.1,68.93,42,40.48
Bulls,13,62,5,67,20,57,163,14,25,2,49,52,75,33,108,29,11,4,15,32.26,2.9,91.23,35,31.43
Blues,13,110,7,119,24,96,319,17,39,3,87,81,,,,34,12,,15,21.82,3.3,84.38,35,34.29
Waratahs,14,141,14,159,13,130,689,26,54,13,104,82,122,70,192,35,14,3,6,9.22,5.3,63.08,38,36.84
Sunwolves,14,167,5,172,23,124,315,11,38,3,109,106,213,46,259,35,22,1,4,13.77,2.5,85.48,44,50.00
Stormers,14,80,1,82,27,77,350,19,25,6,68,62,134,28,162,32,15,3,12,33.75,4.5,80.52,42,35.71
Rebels,14,184,6,192,15,147,586,33,73,8,127,113,235,15,250,27,13,3,9,8.15,4.0,76.87,36,36.11
Lions,14,128,7,136,21,112,628,24,45,14,92,80,172,21,193,38,13,2,7,16.41,5.6,71.43,45,28.89
Kings,14,121,6,130,16,85,346,13,26,5,66,64,100,18,118,33,19,2,15,13.22,4.1,75.29,39,48.72
Jaguares,14,74,3,78,20,91,316,9,44,2,77,73,126,26,152,29,13,3,12,27.03,3.5,80.22,44,29.55
Hurricanes,14,145,7,154,31,128,577,28,55,12,113,94,166,34,200,41,16,3,9,21.38,4.5,73.44,46,34.78
Highlanders,14,106,17,125,28,113,373,12,36,5,105,75,117,44,161,51,20,,5,26.42,3.3,66.37,48,41.67
Force,14,93,6,100,17,83,229,8,32,3,74,72,132,14,146,24,11,3,8,18.28,2.8,86.75,33,33.33
Crusaders,14,155,8,163,22,113,494,16,44,9,102,79,170,22,192,41,16,3,7,14.19,4.4,69.91,46,34.78
Chiefs,14,124,14,138,11,103,357,22,35,8,83,58,76,36,112,28,17,,7,8.87,3.5,56.31,28,60.71
Cheetahs,14,105,6,114,19,97,313,14,32,5,90,84,158,36,194,32,14,5,12,18.10,3.2,86.60,41,34.15
